# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 9600 GT
method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,memTransferSize,memTransferDir,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
_Z21GenerateWindowHammingP6float2j,2.272,15.632,0.667,1,2,64,1,1,0,24,7,,,0,0,0,32,0,0,4,0,56,0,1
_Z14FAM_MakeWindowP6float2PKS_i,2.016,11.502,0.333,1,8,16,1,1,0,28,4,,,0,2,64,0,0,0,1,0,18,0,2
memcpyDtoD_aligned,3.328,12.613,1,1,32,128,1,1,0,28,3,,,0,64,0,256,0,0,16,0,148,0,8
memcpyDtoD_aligned,2.72,11.69,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.76,10.893,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.792,10.777,1,1,2,128,1,1,0,28,3,,,0,16,0,64,0,0,4,0,46,0,2
memcpyDtoD_aligned,1.728,10.743,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.792,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.728,12.367,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,11.012,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.76,10.904,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.952,11.185,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.664,10.863,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.874,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.728,10.796,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.953,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.888,10.84,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.696,10.657,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.76,10.71,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.824,10.814,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.728,10.99,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.664,10.519,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.728,10.59,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.728,10.679,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.76,10.971,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.696,10.691,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.642,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.856,10.9,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.76,10.874,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.743,1,1,2,128,1,1,0,28,3,,,0,16,0,64,0,0,4,0,46,0,2
memcpyDtoD_aligned,1.664,10.534,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.698,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.856,10.927,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.818,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.696,10.769,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.856,10.762,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.728,10.814,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
